Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
2,3,3,3,police,police
3,4,4,4,pensais,thought
4,5,5,5,aide,help
5,6,6,7,genre,kind
6,7,7,9,frère,brother
7,8,8,10,laisser,let
9,11,12,15,eux,them
11,14,15,18,arrivé,come
12,15,16,19,bébé,baby
14,17,18,22,vont,will
15,18,19,23,pendant,while
16,19,21,25,place,square
17,20,22,26,parle,speak
18,21,23,27,compris,understood
19,22,24,28,étaient,were
20,23,25,29,attention,Warning
21,24,26,30,voici,here is
22,25,28,33,donner,give
23,26,29,34,type,type
24,27,30,35,leurs,their
25,28,31,36,train,train
27,32,38,47,pouvoir,power
28,33,39,48,vieux,old
29,34,40,49,sois,be
30,35,41,50,tiens,here
31,36,43,52,enfant,child
32,39,47,57,venez,come
34,42,52,63,mis,placed
37,45,55,66,aujourd'hui,today
38,46,56,67,mari,husband
39,47,57,69,espère,hope
42,50,60,72,nouvelle,new
43,52,62,74,dirait,would say
45,54,65,77,loin,far
46,55,66,79,croire,believe
47,56,68,81,gros,large
